id	name	metabolites	lower_bound	upper_bound	gene_reaction_rule	subsystem	notes	annotation	objective_coefficient
PFK	Phosphofructokinase	{'adp_c': 1.0, 'atp_c': -1.0, 'f6p_c': -1.0, 'fdp_c': 1.0, 'h_c': 1.0}	0.0	1000.0	b3916 or b1723	Glycolysis/Gluconeogenesis	{'original_bigg_ids': ['PFK']}	{'bigg.reaction': ['PFK'], 'ec-code': ['2.7.1.11'], 'metanetx.reaction': ['MNXR102507'], 'rhea': ['16111', '16109', '16110', '16112'], 'sbo': 'SBO:0000176'}	
PFL	Pyruvate formate lyase	{'accoa_c': 1.0, 'coa_c': -1.0, 'for_c': 1.0, 'pyr_c': -1.0}	0.0	1000.0	((b0902 and b0903) and b2579) or (b0902 and b0903) or (b0902 and b3114) or (b3951 and b3952)	Pyruvate Metabolism	{'original_bigg_ids': ['PFL']}	{'bigg.reaction': ['PFL'], 'biocyc': ['META:PYRUVFORMLY-RXN'], 'ec-code': ['2.3.1.54'], 'kegg.reaction': ['R00212'], 'metanetx.reaction': ['MNXR102514'], 'rhea': ['11847', '11845', '11844', '11846'], 'sabiork': ['146'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00157']}	
PGI	Glucose-6-phosphate isomerase	{'f6p_c': 1.0, 'g6p_c': -1.0}	-1000.0	1000.0	b4025	Glycolysis/Gluconeogenesis	{'original_bigg_ids': ['PGI']}	{'bigg.reaction': ['PGI'], 'biocyc': ['META:PGLUCISOM-RXN'], 'ec-code': ['5.3.1.9'], 'metanetx.reaction': ['MNXR102535'], 'sbo': 'SBO:0000176'}	
PGK	Phosphoglycerate kinase	{'13dpg_c': 1.0, '3pg_c': -1.0, 'adp_c': 1.0, 'atp_c': -1.0}	-1000.0	1000.0	b2926	Glycolysis/Gluconeogenesis	{'original_bigg_ids': ['PGK']}	{'bigg.reaction': ['PGK'], 'biocyc': ['META:PHOSGLYPHOS-RXN'], 'ec-code': ['2.7.2.3'], 'kegg.reaction': ['R01512'], 'metanetx.reaction': ['MNXR102538'], 'reactome.reaction': ['R-ATH-71850', 'R-DME-71850', 'R-GGA-71850', 'R-SPO-71850', 'R-OSA-71850', 'R-GGA-353039', 'R-GGA-353023', 'R-BTA-71850', 'R-CFA-70486', 'R-MMU-71850', 'R-DME-70486', 'R-PFA-71850', 'R-SPO-70486', 'R-SCE-70486', 'R-PFA-70486', 'R-SSC-70486', 'R-ATH-70486', 'R-DRE-70486', 'R-HSA-70486', 'R-OSA-70486', 'R-XTR-71850', 'R-MMU-70486', 'R-RNO-70486', 'R-TGU-70486', 'R-DRE-71850', 'R-SSC-71850', 'R-SCE-71850', 'R-CFA-71850', 'R-XTR-70486', 'R-DDI-70486', 'R-DDI-71850', 'R-RNO-71850', 'R-BTA-70486', 'R-CEL-70486', 'R-HSA-71850', 'R-CEL-71850', 'R-GGA-70486', 'R-TGU-71850'], 'rhea': ['14801', '14804', '14802', '14803'], 'sabiork': ['7644'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn01100']}	
PGL	6-phosphogluconolactonase	{'6pgc_c': 1.0, '6pgl_c': -1.0, 'h2o_c': -1.0, 'h_c': 1.0}	0.0	1000.0	b0767	Pentose Phosphate Pathway	{'original_bigg_ids': ['PGL']}	{'bigg.reaction': ['PGL'], 'biocyc': ['META:6PGLUCONOLACT-RXN'], 'ec-code': ['3.1.1.31'], 'kegg.reaction': ['R02035'], 'metanetx.reaction': ['MNXR102539'], 'reactome.reaction': ['R-OSA-71296', 'R-CFA-71296', 'R-CEL-71296', 'R-GGA-71296', 'R-MMU-71296', 'R-SSC-71296', 'R-BTA-71296', 'R-ATH-71296', 'R-DME-71296', 'R-DRE-71296', 'R-SCE-71296', 'R-HSA-71296', 'R-XTR-71296', 'R-RNO-71296', 'R-DDI-71296', 'R-SPO-71296'], 'rhea': ['12559', '12556', '12557', '12558'], 'sabiork': ['109'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn01476']}	
ACALD	Acetaldehyde dehydrogenase (acetylating)	{'acald_c': -1.0, 'accoa_c': 1.0, 'coa_c': -1.0, 'h_c': 1.0, 'nad_c': -1.0, 'nadh_c': 1.0}	-1000.0	1000.0	b0351 or b1241	Pyruvate Metabolism	{'original_bigg_ids': ['ACALD']}	{'bigg.reaction': ['ACALD'], 'biocyc': ['META:ACETALD-DEHYDROG-RXN'], 'ec-code': ['1.2.1.10'], 'kegg.reaction': ['R00228'], 'metanetx.reaction': ['MNXR95210'], 'rhea': ['23290', '23291', '23289', '23288'], 'sabiork': ['163'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00171']}	
AKGt2r	2 oxoglutarate reversible transport via symport	{'akg_c': 1.0, 'akg_e': -1.0, 'h_c': 1.0, 'h_e': -1.0}	-1000.0	1000.0	b2587	Transport, Extracellular	{'original_bigg_ids': ['AKGt2r']}	{'bigg.reaction': ['AKGt2r'], 'biocyc': ['META:TRANS-RXN-23'], 'metanetx.reaction': ['MNXR95661'], 'rhea': ['29011', '29013', '29012', '29014'], 'sbo': 'SBO:0000185', 'seed.reaction': ['rxn05493', 'rxn08095', 'rxn09827']}	
PGM	Phosphoglycerate mutase	{'2pg_c': -1.0, '3pg_c': 1.0}	-1000.0	1000.0	b3612 or b4395 or b0755	Glycolysis/Gluconeogenesis	{'original_bigg_ids': ['PGM']}	{'bigg.reaction': ['PGM'], 'biocyc': ['META:3PGAREARR-RXN', 'META:RXN-15513'], 'ec-code': ['5.4.2.1', '5.4.2.11', '5.4.2.12'], 'kegg.reaction': ['R01518'], 'metanetx.reaction': ['MNXR102547'], 'reactome.reaction': ['R-XTR-71654', 'R-SSC-71654', 'R-DME-71445', 'R-XTR-71445', 'R-RNO-71445', 'R-GGA-71654', 'R-SSC-71445', 'R-GGA-71445', 'R-DDI-71654', 'R-SPO-71654', 'R-MMU-71445', 'R-BTA-71445', 'R-CFA-71445', 'R-PFA-71445', 'R-GGA-352994', 'R-TGU-71654', 'R-SPO-71445', 'R-HSA-71445', 'R-ATH-71654', 'R-MMU-71654', 'R-BTA-71654', 'R-GGA-353014', 'R-DRE-71654', 'R-HSA-71654', 'R-CFA-71654', 'R-OSA-71654', 'R-DDI-71445', 'R-RNO-71654', 'R-DRE-71445', 'R-OSA-71445', 'R-PFA-71654', 'R-DME-71654', 'R-TGU-71445', 'R-SCE-71445', 'R-ATH-71445', 'R-SCE-71654'], 'rhea': ['15902', '15903', '15901', '15904'], 'sabiork': ['7641'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn01106']}	
PIt2r	Phosphate reversible transport via symport	{'h_c': 1.0, 'h_e': -1.0, 'pi_c': 1.0, 'pi_e': -1.0}	-1000.0	1000.0	b2987 or b3493	Inorganic Ion Transport and Metabolism	{'original_bigg_ids': ['PIt2r']}	{'bigg.reaction': ['PIt2r'], 'biocyc': ['META:TRANS-RXN-114'], 'metanetx.reaction': ['MNXR102872'], 'rhea': ['29939', '29941', '29940', '29942'], 'sbo': 'SBO:0000185', 'seed.reaction': ['rxn05312', 'rxn09833', 'rxn09811', 'rxn09872', 'rxn09723', 'rxn09120']}	
ALCD2x	Alcohol dehydrogenase (ethanol)	{'acald_c': 1.0, 'etoh_c': -1.0, 'h_c': 1.0, 'nad_c': -1.0, 'nadh_c': 1.0}	-1000.0	1000.0	b0356 or b1478 or b1241	Pyruvate Metabolism	{'original_bigg_ids': ['ALCD2x']}	{'bigg.reaction': ['ALCD2x'], 'biocyc': ['META:ALCOHOL-DEHYDROG-RXN'], 'ec-code': ['1.1.1.71', '1.1.1.1'], 'kegg.reaction': ['R00754'], 'metanetx.reaction': ['MNXR95725'], 'reactome.reaction': ['R-MMU-71707', 'R-XTR-71707', 'R-CFA-71707', 'R-OSA-71707', 'R-RNO-71707', 'R-HSA-71707', 'R-SSC-71707', 'R-GGA-71707', 'R-SPO-71707', 'R-DME-71707', 'R-DRE-71707', 'R-BTA-71707', 'R-ATH-71707', 'R-SCE-71707', 'R-TGU-71707', 'R-CEL-71707', 'R-DDI-71707'], 'rhea': ['25292', '25290', '25291', '25293'], 'sabiork': ['597'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00543']}	
ACALDt	Acetaldehyde reversible transport	{'acald_c': 1.0, 'acald_e': -1.0}	-1000.0	1000.0	s0001	Transport, Extracellular	{'original_bigg_ids': ['ACALDt']}	{'bigg.reaction': ['ACALDt'], 'metanetx.reaction': ['MNXR95212'], 'reactome.reaction': ['R-HSA-449872'], 'sbo': 'SBO:0000185', 'seed.reaction': ['rxn09700', 'rxn08033', 'rxn13212', 'rxn08032']}	
ACKr	Acetate kinase	{'ac_c': -1.0, 'actp_c': 1.0, 'adp_c': 1.0, 'atp_c': -1.0}	-1000.0	1000.0	b3115 or b2296 or b1849	Pyruvate Metabolism	{'original_bigg_ids': ['ACKr']}	{'bigg.reaction': ['ACKr'], 'biocyc': ['META:ACETATEKIN-RXN'], 'ec-code': ['2.7.2.15', '2.7.2.1'], 'kegg.reaction': ['R00315'], 'metanetx.reaction': ['MNXR95269'], 'rhea': ['11354', '11355', '11353', '11352'], 'sabiork': ['71'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00225']}	
PPC	Phosphoenolpyruvate carboxylase	{'co2_c': -1.0, 'h2o_c': -1.0, 'h_c': 1.0, 'oaa_c': 1.0, 'pep_c': -1.0, 'pi_c': 1.0}	0.0	1000.0	b3956	Anaplerotic reactions	{'original_bigg_ids': ['PPC']}	{'bigg.reaction': ['PPC'], 'ec-code': ['4.1.1.31'], 'kegg.reaction': ['R00345'], 'metanetx.reaction': ['MNXR103096'], 'rhea': ['23073', '23072', '23075', '23074'], 'sabiork': ['150'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00251']}	
ACONTa	Aconitase (half-reaction A, Citrate hydro-lyase)	{'acon_C_c': 1.0, 'cit_c': -1.0, 'h2o_c': 1.0}	-1000.0	1000.0	b0118 or b1276	Citric Acid Cycle	{'original_bigg_ids': ['ACONTa']}	{'bigg.reaction': ['ACONTa'], 'biocyc': ['META:ACONITATEDEHYDR-RXN'], 'ec-code': ['4.2.1.3'], 'kegg.reaction': ['R01325'], 'metanetx.reaction': ['MNXR95386'], 'rhea': ['10230', '10229', '10231', '10228'], 'sabiork': ['268'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00974']}	
ACONTb	Aconitase (half-reaction B, Isocitrate hydro-lyase)	{'acon_C_c': -1.0, 'h2o_c': -1.0, 'icit_c': 1.0}	-1000.0	1000.0	b0118 or b1276	Citric Acid Cycle	{'original_bigg_ids': ['ACONTb']}	{'bigg.reaction': ['ACONTb'], 'ec-code': ['4.2.1.3'], 'kegg.reaction': ['R01900'], 'metanetx.reaction': ['MNXR95387'], 'rhea': ['22145', '22144', '22146', '22147'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn01388']}	
ATPM	ATP maintenance requirement	{'adp_c': 1.0, 'atp_c': -1.0, 'h2o_c': -1.0, 'h_c': 1.0, 'pi_c': 1.0}	8.39	1000.0		Biomass and maintenance functions	{'original_bigg_ids': ['ATPM']}	{'bigg.reaction': ['ATPM'], 'biocyc': ['META:ATPASE-RXN'], 'ec-code': ['3.6.1.5', '3.6.3.34', '3.6.3.20', '3.6.3.53', '3.6.3.8', '3.6.3.32', '3.6.4.12', '3.6.3.48', '3.6.3.40', '3.6.3.9', '3.6.3.23', '3.6.3.22', '3.6.3.54', '3.6.3.1', '3.6.1.8', '3.6.3.29', '3.6.3.17', '3.6.3.50', '3.6.3.39', '3.6.3.19', '3.6.3.4', '3.6.3.35', '3.6.3.16', '3.6.4.4', '3.6.3.37', '3.6.4.8', '3.6.3.31', '3.6.3.6', '3.6.4.5', '3.6.3.52', '3.6.3.2', '3.6.3.14', '3.6.3.51', '3.6.3.25', '3.6.3.38', '3.6.3.33', '3.6.3.43', '3.6.4.10', '3.6.4.13', '3.6.3.3', '3.6.3.10', '3.6.3.24', '3.6.3.44', '3.6.3.15', '3.6.3.5', '3.6.1.3', '3.6.1.15', '3.6.4.2', '3.6.4.3', '3.6.3.42', '3.6.3.11', '3.6.3.28', '3.6.3.30', '3.6.4.1', '3.6.4.11', '3.6.3.47', '3.6.4.6', '3.6.3.36', '3.6.3.21', '3.6.3.12', '3.6.3.18', '3.6.3.26', '3.6.3.27', '3.6.3.7', '3.6.4.9', '3.6.4.7', '3.6.3.46', '3.6.3.41', '3.6.3.49'], 'kegg.reaction': ['R00086'], 'metanetx.reaction': ['MNXR96131'], 'rhea': ['13066', '13065', '13068', '13067'], 'sabiork': ['75'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn11300', 'rxn09694', 'rxn00062']}	
PPCK	Phosphoenolpyruvate carboxykinase	{'adp_c': 1.0, 'atp_c': -1.0, 'co2_c': 1.0, 'oaa_c': -1.0, 'pep_c': 1.0}	0.0	1000.0	b3403	Anaplerotic reactions	{'original_bigg_ids': ['PPCK']}	{'bigg.reaction': ['PPCK'], 'biocyc': ['META:PEPCARBOXYKIN-RXN'], 'ec-code': ['4.1.1.49'], 'kegg.reaction': ['R00341'], 'metanetx.reaction': ['MNXR103099'], 'rhea': ['18620', '18618', '18617', '18619'], 'sabiork': ['151'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00247']}	
ACt2r	Acetate reversible transport via proton symport	{'ac_c': 1.0, 'ac_e': -1.0, 'h_c': 1.0, 'h_e': -1.0}	-1000.0	1000.0		Transport, Extracellular	{'original_bigg_ids': ['ACt2r']}	{'bigg.reaction': ['ACt2r'], 'biocyc': ['META:TRANS-RXN0-571'], 'metanetx.reaction': ['MNXR95429'], 'sbo': 'SBO:0000185', 'seed.reaction': ['rxn08061', 'rxn05488']}	
PPS	Phosphoenolpyruvate synthase	{'amp_c': 1.0, 'atp_c': -1.0, 'h2o_c': -1.0, 'h_c': 2.0, 'pep_c': 1.0, 'pi_c': 1.0, 'pyr_c': -1.0}	0.0	1000.0	b1702	Glycolysis/Gluconeogenesis	{'original_bigg_ids': ['PPS']}	{'bigg.reaction': ['PPS'], 'biocyc': ['META:PEPSYNTH-RXN'], 'ec-code': ['2.7.9.2'], 'kegg.reaction': ['R00199'], 'metanetx.reaction': ['MNXR103140'], 'rhea': ['11364', '11367', '11366', '11365'], 'sabiork': ['148'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00147']}	
ADK1	Adenylate kinase	{'adp_c': 2.0, 'amp_c': -1.0, 'atp_c': -1.0}	-1000.0	1000.0	b0474	Oxidative Phosphorylation	{'original_bigg_ids': ['ADK1']}	{'bigg.reaction': ['ADK1'], 'biocyc': ['META:ADENYL-KIN-RXN'], 'ec-code': ['2.7.4.3'], 'kegg.reaction': ['R00127'], 'metanetx.reaction': ['MNXR95450'], 'reactome.reaction': ['R-ATH-110145', 'R-SSC-110144', 'R-ATH-110144', 'R-SSC-110145', 'R-GGA-110145', 'R-PFA-110144', 'R-HSA-110145', 'R-RNO-110144', 'R-OSA-110145', 'R-SCE-110145', 'R-RNO-110145', 'R-XTR-110144', 'R-SCE-110144', 'R-PFA-110145', 'R-OSA-110144', 'R-HSA-110144', 'R-BTA-110144', 'R-DRE-110145', 'R-DRE-110144', 'R-SPO-110145', 'R-CEL-110144', 'R-CFA-110144', 'R-XTR-110145', 'R-MMU-110144', 'R-DME-110144', 'R-SPO-110144', 'R-DDI-110145', 'R-GGA-110144', 'R-TGU-110144', 'R-BTA-110145', 'R-CEL-110145', 'R-CFA-110145', 'R-DME-110145', 'R-TGU-110145', 'R-DDI-110144', 'R-MMU-110145'], 'rhea': ['12975', '12973', '12976', '12974'], 'sabiork': ['82'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00097']}	
AKGDH	2-Oxogluterate dehydrogenase	{'akg_c': -1.0, 'co2_c': 1.0, 'coa_c': -1.0, 'nad_c': -1.0, 'nadh_c': 1.0, 'succoa_c': 1.0}	0.0	1000.0	b0116 and b0726 and b0727	Citric Acid Cycle	{'original_bigg_ids': ['AKGDH']}	{'bigg.reaction': ['AKGDH'], 'biocyc': ['META:2OXOGLUTARATEDEH-RXN'], 'ec-code': ['1.2.1.52', '2.3.1.61', '1.8.1.4', '1.2.4.2'], 'kegg.reaction': ['R08549'], 'metanetx.reaction': ['MNXR95655'], 'reactome.reaction': ['R-PFA-71401', 'R-XTR-71401', 'R-SCE-71401', 'R-SSC-71401', 'R-TGU-71401', 'R-ATH-71401', 'R-OSA-71401', 'R-SPO-71401', 'R-CEL-71401', 'R-RNO-71401', 'R-DRE-71401', 'R-GGA-373042', 'R-DDI-71401', 'R-CFA-71401', 'R-HSA-71401', 'R-BTA-71401', 'R-DME-71401', 'R-MMU-71401', 'R-GGA-71401'], 'rhea': ['27789', '27788', '27786', '27787'], 'sabiork': ['8163'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn08094']}	
