EX_glc(e)

target: EX_for(e)
,0.0,,,0.1,,,0.2,,,0.3
,noThKO,THKO,THKO+swaps,noThKO,THKO,THKO+swaps,noThKO,THKO,THKO+swaps,noThKO,THKO,THKO+swaps,
3OAR100,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,
3OAR40,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,
3OAR60,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,
3OAR80,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,
AGPR,0.00,0.00,-1000.00,-0.03,-0.03,-1000.00,-0.06,-0.06,-1000.00,-0.09,-0.09,-1000.00,
AKGDH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
ASAD,0.00,0.00,-1000.00,-0.11,-0.11,-1000.00,-0.21,-0.21,-1000.00,-0.32,-0.32,-1000.00,
DHDPRy,0.00,0.00,0.00,0.04,0.04,0.00,0.07,0.07,0.00,0.11,0.11,0.00,
EAR40x,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
EAR60x,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
EAR80x,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
G6PDH2r,44.22,51.11,-1000.00,33.83,41.57,-951.99,23.43,32.04,-960.83,13.04,22.50,-969.67,
GAPD,25.26,22.96,-960.00,28.48,25.90,-976.24,31.71,28.84,-973.54,34.93,31.78,-970.83,
GLUDy,0.00,0.00,981.05,-0.86,-0.85,998.93,-1.71,-1.70,997.85,-2.57,-2.55,996.78,
GND,44.22,51.11,0.00,33.83,41.57,48.01,23.43,32.04,39.17,13.04,22.50,30.33,
HPYRRx,0.00,0.00,0.00,1000.00,0.00,0.00,1000.00,0.00,0.00,1000.00,0.00,0.00,
HSDy,0.00,0.00,-1000.00,-0.07,-0.07,-1000.00,-0.14,-0.14,-1000.00,-0.21,-0.21,-1000.00,
ICDHyr,0.00,0.00,1000.00,0.11,0.11,-999.89,0.22,0.22,-999.78,0.32,0.32,-999.68,
IPMD,0.00,0.00,0.00,0.05,0.05,0.00,0.09,0.09,0.00,0.14,0.14,0.00,
KARA1,0.00,0.00,-1000.00,-0.09,-0.09,-976.69,-0.17,-0.17,-974.43,-0.26,-0.26,-972.17,
KARA2,0.00,0.00,-1000.00,0.03,0.03,-999.97,0.06,0.06,-999.94,0.09,0.09,-999.91,
MDH,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,
MTHFD,0.00,0.00,1000.00,0.00,0.00,1000.00,0.00,0.00,1000.00,0.00,0.00,1000.00,
NADH16pp,0.00,0.00,-1000.00,0.07,0.07,-999.93,0.14,0.14,-999.86,0.21,0.21,-999.79,
PDH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
PGCD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SHK3Dr,0.00,0.00,-962.10,0.10,0.09,-999.90,0.20,0.18,-999.80,0.30,0.26,-999.70,
TRSARr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
ME1,0.00,0.00,903.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
ME2,0.00,0.00,0.00,0.17,0.17,0.00,0.34,0.33,0.00,0.52,0.50,0.00,
LDH_D,0.00,0.00,1000.00,0.04,0.04,-999.96,0.08,0.08,-999.92,0.11,0.11,-999.89,
LCARR,0.00,0.00,1000.00,-1000.00,0.00,1000.00,-1000.00,0.00,1000.00,-1000.00,0.00,1000.00,

EX_glyc(e)

target: EX_for(e)
,0.0,,,0.1,,,0.2,,,0.3
,noThKO,THKO,THKO+swaps,noThKO,THKO,THKO+swaps,noThKO,THKO,THKO+swaps,noThKO,THKO,THKO+swaps,
3OAR100,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,0.00,
3OAR40,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,0.00,
3OAR60,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,0.00,
3OAR80,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,0.00,
AGPR,0.00,0.00,-945.43,-0.03,-0.03,-1000.00,0.00,0.00,-1000.00,0.00,0.00,0.00,
AKGDH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
ASAD,0.00,0.00,-1000.00,-0.11,-0.11,-1000.00,0.00,0.00,-1000.00,0.00,0.00,0.00,
DHDPRy,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
EAR40x,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
EAR60x,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
EAR80x,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
G6PDH2r,11.85,1.85,-978.15,3.15,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,0.00,
GAPD,16.05,19.38,-987.28,18.71,19.76,-980.24,0.00,0.00,-980.48,0.00,0.00,0.00,
GLUDy,0.00,0.00,-1000.00,-0.86,-0.86,-1000.00,0.00,0.00,-1000.00,0.00,0.00,0.00,
GND,11.85,1.85,0.00,3.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
HPYRRx,1000.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
HSDy,0.00,0.00,-1000.00,-0.07,-0.07,-1000.00,0.00,0.00,-1000.00,0.00,0.00,0.00,
ICDHyr,0.00,0.00,-1000.00,0.11,0.11,-999.89,0.00,0.00,-999.78,0.00,0.00,0.00,
IPMD,0.00,0.00,0.00,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
KARA1,0.00,0.00,1000.00,-0.09,-0.09,999.91,0.00,0.00,999.83,0.00,0.00,0.00,
KARA2,0.00,0.00,-1000.00,0.03,0.03,-999.97,0.00,0.00,-999.94,0.00,0.00,0.00,
MDH,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,0.00,
MTHFD,0.00,0.00,1000.00,0.00,0.00,1000.00,0.00,0.00,1000.00,0.00,0.00,0.00,
NADH16pp,0.00,0.00,-1000.00,0.07,0.07,-999.93,0.00,0.00,-999.86,0.00,0.00,0.00,
PDH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
PGCD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SHK3Dr,0.00,0.00,-1000.00,0.10,0.10,-991.23,0.00,0.00,-997.02,0.00,0.00,0.00,
TRSARr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
ME1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
ME2,0.00,0.00,0.00,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
LDH_D,0.00,0.00,-1000.00,0.04,0.04,-999.96,0.00,0.00,-999.92,0.00,0.00,0.00,
LCARR,-1000.00,-1000.00,1000.00,0.00,0.00,1000.00,0.00,0.00,1000.00,0.00,0.00,0.00,

EX_xyl-D(e)

target: EX_for(e)
,0.0,,,0.1,,,0.2,,,0.3
,noThKO,THKO,THKO+swaps,noThKO,THKO,THKO+swaps,noThKO,THKO,THKO+swaps,noThKO,THKO,THKO+swaps,
3OAR100,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,
3OAR40,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,
3OAR60,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,
3OAR80,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,
AGPR,0.00,0.00,-1000.00,-0.03,-0.03,-1000.00,-0.06,-0.06,-1000.00,-0.09,-0.09,-1000.00,
AKGDH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
ASAD,0.00,0.00,-1000.00,-0.11,-0.11,-1000.00,-0.21,-0.21,-1000.00,-0.32,-0.32,-1000.00,
DHDPRy,0.00,0.00,0.00,0.04,0.04,0.00,0.07,0.07,0.00,0.11,0.11,0.00,
EAR40x,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
EAR60x,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
EAR80x,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
G6PDH2r,30.22,36.56,-960.00,19.83,27.03,-1000.00,9.43,17.49,-1000.00,0.00,7.95,-1000.00,
GAPD,23.26,21.15,-980.00,26.48,24.08,-966.91,29.71,27.02,-967.15,32.61,29.96,-967.39,
GLUDy,0.00,0.00,999.38,-0.86,-0.85,-1000.00,-1.71,-1.70,989.80,-2.55,-2.55,-1000.00,
GND,30.22,36.56,0.00,19.83,27.03,0.00,9.43,17.49,0.00,0.00,7.95,0.00,
HPYRRx,0.00,1000.00,0.00,1000.00,1000.00,0.00,1000.00,1000.00,0.00,1000.00,1000.00,0.00,
HSDy,0.00,0.00,-1000.00,-0.07,-0.07,-1000.00,-0.14,-0.14,-1000.00,-0.21,-0.21,-1000.00,
ICDHyr,0.00,0.00,1000.00,0.11,0.11,1000.00,0.22,0.22,-14.10,0.32,0.32,1000.00,
IPMD,0.00,0.00,0.00,0.05,0.05,0.00,0.09,0.09,0.00,0.14,0.14,0.00,
KARA1,0.00,0.00,-1000.00,-0.09,-0.09,999.91,-0.17,-0.17,-1000.00,-0.26,-0.26,-15.53,
KARA2,0.00,0.00,-1000.00,0.03,0.03,33.02,0.06,0.06,-999.94,0.09,0.09,-999.91,
MDH,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,0.00,0.00,-1000.00,
MTHFD,0.00,0.00,1000.00,0.00,0.00,1000.00,0.00,0.00,1000.00,0.00,0.00,1000.00,
NADH16pp,0.00,0.00,-1000.00,0.07,0.07,-999.93,0.14,0.14,-991.79,0.21,0.21,-999.79,
PDH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
PGCD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SHK3Dr,0.00,0.00,-998.77,0.10,0.09,-977.89,0.20,0.18,-991.76,0.26,0.26,-989.48,
TRSARr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
ME1,0.00,0.00,0.00,0.00,0.00,935.24,0.00,0.00,945.67,0.00,0.00,956.09,
ME2,0.00,0.00,0.00,0.17,0.17,0.00,0.34,0.33,0.00,0.50,0.50,0.00,
LDH_D,0.00,0.00,-1000.00,0.04,0.04,-999.96,0.08,0.08,-999.92,0.11,0.11,-999.89,
LCARR,0.00,-1000.00,-939.38,-1000.00,-1000.00,1000.00,-1000.00,-1000.00,1000.00,-1000.00,-1000.00,1000.00,

