aer,thKO,subs,target,KOs,dh,YPS,SSP,SOC
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,no swap,1.6138,0.67846,0.010712
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,3OAR100swap,1.6144,0.67983,0.010734
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,3OAR40swap,1.6144,0.67983,0.010734
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,3OAR60swap,1.6144,0.67983,0.010734
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,3OAR80swap,1.6144,0.67983,0.010734
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,AGPRswap,1.6143,0.6796,0.010731
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,AKGDHswap,1.6138,0.67846,0.010712
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,ASADswap,1.6157,0.68261,0.010778
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,DHDPRyswap,1.6145,0.67989,0.010735
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,EAR40xswap,1.6132,0.67709,0.010691
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,EAR60xswap,1.6132,0.67709,0.010691
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,EAR80xswap,1.6132,0.67709,0.010691
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,G6PDH2rswap,1.3838,0.55769,0.007338
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,GAPDswap,1.6408,0.73999,0.0077893
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,GLUDyswap,1.6281,0.71253,0.0093754
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,GNDswap,1.3838,0.55769,0.007338
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,GTHOrswap,1.6144,0.67982,0.010734
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,HSDyswap,1.615,0.68116,0.010755
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,ICDHyrswap,1.612,0.67433,0.010647
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,IPMDswap,1.6146,0.6802,0.01074
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,KARA1swap,1.6153,0.68185,0.010766
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,KARA2swap,1.6143,0.67958,0.01073
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,MDHswap,1.6151,0.6812,0.010756
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,MTHFDswap,1.6123,0.67508,0.010659
FALSE,TRUE,EX_glc(e),EX_etoh(e), 2MAHMP ACKr DRPA,NADH17ppswap,1.6138,0.67846,0.010712
